😂	0.24716181096977158	0.28470797428532346	0.46813021474490496	FACE WITH TEARS OF JOY
❤	0.044099378881987575	0.1657142857142857	0.7901863354037267	HEAVY BLACK HEART
♥	0.03527435610302351	0.27183650615901456	0.6928891377379619	BLACK HEART SUIT
😍	0.05173769460607014	0.218587828274886	0.7296744771190439	SMILING FACE WITH HEART-SHAPED EYES
😭	0.4364820846905538	0.22041259500542887	0.34310532030401736	LOUDLY CRYING FACE
😘	0.05290570175438596	0.1924342105263158	0.7546600877192983	FACE THROWING A KISS
😊	0.059322033898305086	0.23666038920276208	0.7040175768989329	SMILING FACE WITH SMILING EYES
👌	0.09367521367521367	0.24888888888888888	0.6574358974358975	OK HAND SIGN
💕	0.04125	0.28458333333333335	0.6741666666666667	TWO HEARTS
👏	0.10402397260273973	0.2714041095890411	0.6245719178082192	CLAPPING HANDS SIGN
😁	0.1269986295111923	0.29602558245774324	0.5769757880310644	GRINNING FACE WITH SMILING EYES
☺	0.06207565470417071	0.2177497575169738	0.7201745877788555	WHITE SMILING FACE
♡	0.051645569620253164	0.22683544303797468	0.7215189873417721	WHITE HEART SUIT
👍	0.11488673139158576	0.2481121898597627	0.6370010787486515	THUMBS UP SIGN
😩	0.5912610619469026	0.18584070796460178	0.22289823008849557	WEARY FACE
🙏	0.08057179987004548	0.42105263157894735	0.4983755685510071	PERSON WITH FOLDED HANDS
✌	0.11277705345501955	0.31029986962190353	0.5769230769230769	VICTORY HAND
😏	0.1116951379763469	0.44415243101182655	0.44415243101182655	SMIRKING FACE
😉	0.0992767915844839	0.33727810650887574	0.5634451019066403	WINKING FACE
🙌	0.10092961487383798	0.23771580345285526	0.6613545816733067	PERSON RAISING BOTH HANDS IN CELEBRATION
🙈	0.16346153846153846	0.2403846153846154	0.5961538461538461	SEE-NO-EVIL MONKEY
💪	0.0716820440028389	0.30092264017033354	0.6273953158268275	FLEXED BICEPS
😄	0.13662374821173104	0.30472103004291845	0.5586552217453505	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😒	0.5913357400722021	0.192057761732852	0.21660649819494585	UNAMUSED FACE
💃	0.04389880952380952	0.17633928571428573	0.7797619047619048	DANCER
💖	0.04275534441805225	0.20110847189231987	0.7561361836896279	SPARKLING HEART
😃	0.07131011608623548	0.29933665008291876	0.6293532338308457	SMILING FACE WITH OPEN MOUTH
😔	0.46390041493775935	0.21825726141078838	0.31784232365145226	PENSIVE FACE
😱	0.26371681415929205	0.28230088495575223	0.4539823008849557	FACE SCREAMING IN FEAR
🎉	0.03822222222222222	0.184	0.7777777777777778	PARTY POPPER
😜	0.1111111111111111	0.3217391304347826	0.5671497584541063	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
☯	0.005040322580645161	0.9889112903225806	0.006048387096774193	YIN YANG
🌸	0.039112050739957716	0.26955602536997886	0.6913319238900634	CHERRY BLOSSOM
💜	0.043663471778487756	0.2566560170394036	0.6996805111821086	PURPLE HEART
💙	0.03179824561403509	0.20394736842105263	0.7642543859649122	BLUE HEART
✨	0.05070754716981132	0.5459905660377359	0.4033018867924528	SPARKLES
😳	0.32742316784869974	0.32742316784869974	0.34515366430260047	FLUSHED FACE
💗	0.050239234449760764	0.24043062200956938	0.7093301435406698	GROWING HEART
★	0.030193236714975844	0.6557971014492754	0.3140096618357488	BLACK STAR
█	0.08897243107769423	0.8546365914786967	0.05639097744360902	FULL BLOCK
☀	0.026717557251908396	0.4796437659033079	0.49363867684478374	BLACK SUN WITH RAYS
😡	0.533068783068783	0.10714285714285714	0.35978835978835977	POUTING FACE
😎	0.10477453580901856	0.29708222811671087	0.5981432360742706	SMILING FACE WITH SUNGLASSES
😢	0.38451268357810414	0.22429906542056074	0.39118825100133514	CRYING FACE
💋	0.03814713896457766	0.23024523160762944	0.7316076294277929	KISS MARK
😋	0.04495912806539509	0.276566757493188	0.6784741144414169	FACE SAVOURING DELICIOUS FOOD
